Value of n,Execution Time (seconds)
1,8.00006091594696e-07
2,4.270000499673188e-05
3,8.00006091594696e-07
4,7.999915396794677e-07
5,1.500011421740055e-06
6,1.3999961083754897e-06
7,1.2999953469261527e-06
8,1.2999953469261527e-06
9,1.2999953469261527e-06
10,5.599998985417187e-06
11,4.0000013541430235e-06
12,1.7099999240599573e-05
13,5.900001269765198e-06
14,3.5999983083456755e-06
15,1.8999999156221747e-06
16,7.199996616691351e-06
17,1.7999991541728377e-06
18,9.999930625781417e-07
19,1.300009898841381e-06
20,7.999915396794677e-07
21,2.2000021999701858e-06
22,2.3999891709536314e-06
23,2.0000006770715117e-06
24,1.5999976312741637e-06
25,4.4000043999403715e-06
26,1.1999945854768157e-06
27,1.400010660290718e-06
28,1.300009898841381e-06
29,9.999930625781417e-07
30,1.200009137392044e-06
31,1.100008375942707e-06
32,1.0999938240274787e-06
33,1.200009137392044e-06
34,3.3999967854470015e-06
35,2.2000021999701858e-06
36,2.6000052457675338e-06
37,2.3000029614195228e-06
38,2.4000037228688598e-06
39,1.3999961083754897e-06
40,5.699999746866524e-06
41,5.299996701069176e-06
42,5.099995178170502e-06
43,8.200004231184721e-06
44,5.700014298781753e-06
45,4.7000066842883825e-06
46,3.9000005926936865e-06
47,2.6999914553016424e-06
48,5.199995939619839e-06
49,4.4000043999403715e-06
50,5.0000089686363935e-06
51,2.8999929782003164e-06
52,2.9999937396496534e-06
53,2.9999937396496534e-06
54,3.2999960239976645e-06
55,3.6999990697950125e-06
56,3.200009814463556e-06
57,3.9000005926936865e-06
58,3.100009053014219e-06
59,2.4000037228688598e-06
60,2.3000029614195228e-06
61,2.9999937396496534e-06
62,6.89999433234334e-06
63,1.6599995433352888e-05
64,2.1800005924887955e-05
65,8.799994247965515e-06
66,5.399997462518513e-06
67,6.199989002197981e-06
68,2.5000044843181968e-06
69,2.3000029614195228e-06
70,3.9000005926936865e-06
71,5.4000120144337416e-06
72,2.5000044843181968e-06
73,5.399997462518513e-06
74,5.599998985417187e-06
75,3.0999945010989904e-06
76,3.2999960239976645e-06
77,2.9999937396496534e-06
78,3.3999967854470015e-06
79,2.7000060072168708e-06
80,6.599992047995329e-06
81,2.9999937396496534e-06
82,1.1500000255182385e-05
83,1.0800009476952255e-05
84,7.599999662488699e-06
85,3.0999945010989904e-06
86,3.100009053014219e-06
87,2.7999922167509794e-06
88,5.3000112529844046e-06
89,4.49999060947448e-06
90,4.0000013541430235e-06
91,2.8999929782003164e-06
92,2.5999906938523054e-06
93,4.3000036384910345e-06
94,6.89999433234334e-06
95,5.599998985417187e-06
96,5.800000508315861e-06
97,5.599998985417187e-06
98,4.2000028770416975e-06
99,1.7699989257380366e-05
100,1.650000922381878e-05
